lat,lon,response,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12,ppt1,ppt2,ppt3,ppt4,ppt5,ppt6,ppt7,ppt8,ppt9,ppt10,ppt11,ppt12,aet1,aet2,aet3,aet4,aet5,aet6,aet7,aet8,aet9,aet10,aet11,aet12,pet1,pet2,pet3,pet4,pet5,pet6,pet7,pet8,pet9,pet10,pet11,pet12,pack1,pack2,pack3,pack4,pack5,pack6,pack7,pack8,pack9,pack10,pack11,pack12,soilm1,soilm2,soilm3,soilm4,soilm5,soilm6,soilm7,soilm8,soilm9,soilm10,soilm11,soilm12,vpd1,vpd2,vpd3,vpd4,vpd5,vpd6,vpd7,vpd8,vpd9,vpd10,vpd11,vpd12
44.511,-111.9982,1,-13.86767,-12.07433,-11.45133,-6.956333,-2.069333,2.073,6.183667,5.913001,1.322667,-3.346334,-9.161667,-12.113,-6.128,-2.785,-0.5603333,3.561,9.273334,14.59367,20.44534,18.74133,13.74,6.335001,-1.342667,-4.918666,123.8727,112.564,114.712,85.22367,83.39366,92.51833,43.60167,45.429,51.967,67.89533,89.20033,117.6853,9.858458,8.981208,9.90917,10.07317,33.75602,46.78319,61.69904,52.68233,32.89329,20.36154,12.5852,10.74445,16.20938,16.60249,20.93891,23.18839,33.75602,46.78319,64.81697,56.26226,35.71987,21.74888,16.30558,15.60166,380.5083,493.0722,607.7842,690.2041,294.5899,0.4222603,0,0,0.9266846,45.44258,134.6429,252.3283,80.3131,71.3319,61.42273,54.15341,139.8575,140,118.7859,108.2979,114.6373,114.4715,101.8863,91.14184,0.09566259,0.1277744,0.1710205,0.2478073,0.4235702,0.5650581,0.9068235,0.8682482,0.5922017,0.331457,0.1434215,0.09145799
44.7054,-111.3216,1,-14.80067,-12.652,-12.32767,-7.644334,-2.563,1.59,5.702,5.309334,0.857,-3.841667,-9.912999,-12.932,-6.562667,-3.086334,-0.6210001,4.356333,9.816667,14.897,20.53433,19.12367,13.28367,7.275333,-1.612667,-5.376,122.0413,87.57066,91.34301,71.87466,80.49266,79.66268,38.69799,47.69067,57.64167,66.835,81.13966,99.70232,2.629618,1.474813,0.9404978,2.247227,37.46894,51.58579,56.46111,47.06924,32.20263,20.61734,8.903225,4.725386,17.89918,18.35553,23.17373,25.6987,37.46894,51.58579,70.99845,61.92275,38.38263,24.34549,18.01264,17.2208,349.2536,436.8243,528.1673,595.4822,259.0363,0.6368217,0,0,1.819607,42.63614,123.7758,223.4782,3.222549,1.747736,0.8072383,2.313896,30,30,12.70556,9.552014,17.66265,19.72273,10.8195,6.094115,0.09358989,0.1316649,0.1542341,0.2460522,0.3983306,0.532385,0.8596008,0.8278478,0.5483867,0.3443489,0.1397512,0.09117954
44.3892,-111.08,1,-14.81,-12.90867,-12.53867,-8.054999,-2.410667,1.524,5.436333,4.987334,0.4433333,-4.157333,-9.925668,-13.68067,-6.177001,-2.816333,0.02566666,4.964999,10.76333,15.82033,21.325,19.50633,13.878,7.504,-0.7273332,-5.056334,189.191,137.023,155.861,102.1113,88.47034,81.708,41.70734,46.51432,54.78067,87.067,138.665,157.9687,7.73134,6.35434,6.239115,7.12563,37.46389,50.93824,63.1975,52.06688,33.31056,21.52565,12.25051,9.470911,17.35568,17.76413,22.39057,24.79636,37.46389,51.07705,69.51933,59.8322,37.26884,23.46721,17.45463,16.70905,546.9231,683.9461,839.8071,935.3065,308.6092,0.3022785,0,0,1.568663,55.31539,193.9804,351.9491,31.91116,25.55682,19.31771,18.39136,80,79.14561,57.03304,48.19246,58.04116,62.49573,50.2452,40.77431,0.1032938,0.1356222,0.1672509,0.2511277,0.4044844,0.5630184,0.8996717,0.8233765,0.5603616,0.3601046,0.1586753,0.09166317
44.5213,-111.5058,1,-15.279,-13.17167,-12.62967,-7.488667,-2.394333,2.013334,6.291999,5.778668,0.9813333,-3.682334,-10.164,-13.36367,-6.635001,-3.292,-0.4243332,5.237334,10.49033,15.60233,21.085,19.72,14.00833,7.787,-1.364667,-5.313001,213.4876,142.9643,148.509,106.605,111.749,126.5207,57.37566,70.47266,71.83334,92.83067,118.877,158.4837,3.781119,2.433099,1.811701,6.003389,29.59316,41.05791,52.33615,46.74257,28.79155,18.24108,9.546903,5.805296,13.79251,14.12843,17.82018,19.84623,29.59316,41.05791,56.45601,49.16674,30.325,19.12176,13.87484,13.27494,551.9607,694.925,843.4339,931.4912,336.0177,0.1728626,0,0,1.396326,52.54417,171.4212,329.9048,6.478079,4.044977,2.233277,6.31434,30,30,22.00949,24.41423,24.66605,25.78229,16.23539,10.4301,0.09020765,0.131007,0.1602291,0.269693,0.4157927,0.5637528,0.8914357,0.8755524,0.5745766,0.3598785,0.1489073,0.09224774
44.7072,-111.3742,1,-14.73,-12.53833,-12.018,-7.237667,-2.16,1.983,4.468667,3.992666,1.148333,-3.620666,-9.786,-12.92867,-6.627999,-3.176666,-0.5179999,4.753333,10.32067,15.4,21.029,19.62934,13.78833,7.593666,-1.476333,-5.227,153.13,111.0514,115.649,89.331,97.98901,95.58968,43.45467,54.443,63.82267,81.95968,101.0207,123.558,13.67458,12.98728,15.01853,17.41265,39.25045,53.94177,68.2131,58.78152,38.57642,24.30013,16.09088,14.27745,18.1897,18.65345,23.54985,26.24249,39.25045,53.94992,70.52066,61.35629,40.0282,25.15344,18.30499,17.5003,429.9393,540.9906,656.6396,731.41,261.5078,0.2250101,0,0,1.377645,47.57379,148.5945,272.1525,173.6754,160.6881,145.6695,141.4389,240,239.6442,214.7184,205.6276,214.291,219.118,203.0272,188.7497,0.09124795,0.1290181,0.1509766,0.2500007,0.4013471,0.5519269,0.8114542,0.7944552,0.5797424,0.3549734,0.1411433,0.09716287
44.7012,-111.6334,1,-14.38767,-11.82734,-10.84567,-5.903333,-0.9443333,3.007334,6.548333,6.616667,1.960667,-2.481333,-9.037,-12.13267,-5.847334,-2.607,-0.02266667,5.162667,11.39333,16.60833,22.331,21.077,15.52767,8.661666,-0.5606667,-4.544,78.16,59.75599,74.91833,61.112,72.01333,86.16,38.53333,43.173,48.35466,53.287,60.34767,69.844,8.62533,7.555918,7.968879,14.3414,39.82634,54.26885,66.77023,55.99294,35.11412,23.37292,11.92188,9.779135,17.11271,17.54812,22.15342,25.20932,39.82634,54.48595,73.61045,65.47622,40.88039,25.39528,17.22089,16.46442,230.7812,290.5373,365.4556,394.7628,72.14188,0,0,0,0.2262821,19.37956,79.72721,149.5712,51.24246,43.68655,35.71767,49.75838,110,108.62,80.38306,67.02222,75.19575,82.26845,70.34658,60.56744,0.1020386,0.1320813,0.1724853,0.2691728,0.4283254,0.5718518,0.8908454,0.895807,0.6179734,0.3882802,0.1489785,0.09815803
45.4745,-111.1388,1,-13.75667,-11.671,-11.059,-6.813001,-1.711333,2.405,5.833333,5.012001,1.308333,-2.911333,-8.888999,-11.50867,-5.52,-2.145333,-0.5983334,4.845,10.18367,14.76333,20.78367,19.62467,13.235,7.415667,-0.256,-3.771,85.548,76.80067,101.841,111.3533,114.9747,100.138,41.50767,48.638,66.79099,69.76933,67.786,83.59666,9.890893,8.815103,9.460029,12.39115,34.81396,47.11878,60.56959,50.90853,33.71554,21.52878,13.13682,10.8738,15.73007,16.20874,20.54626,23.23974,34.81396,47.11878,64.1675,55.55604,34.57671,22.33156,15.85504,15.10834,275.913,352.7137,454.5547,535.7156,188.4683,0.2279976,0,0,3.699473,37.998,105.784,189.3807,64.33913,55.52402,46.06401,51.06079,110,110,89.44345,84.04908,93.93335,97.86758,84.73075,73.85695,0.08865128,0.1422894,0.1508717,0.2538162,0.3784945,0.5073017,0.8680618,0.804049,0.5608181,0.3479367,0.1706954,0.1219171
45.8308,-110.934,1,-12.115,-10.08634,-9.737,-5.662667,-1.08,3.117,7.014,7.002334,2.294333,-1.810667,-7.079666,-9.837335,-4.780667,-1.656667,0.2503333,4.824333,10.07667,14.49433,19.98367,19.25533,12.58733,7.146667,0.4890001,-2.955,86.14934,76.93467,107.664,97.72633,128.8324,121.6713,50.501,68.247,86.11933,94.04768,101.567,85.20134,7.725203,6.284724,6.069284,10.33989,31.97344,43.16813,54.41184,49.30638,31.02279,20.28886,12.43918,9.246153,14.09796,14.5608,18.49313,21.17863,31.97344,43.16813,58.61724,52.72138,31.48062,20.63979,14.28599,13.52953,313.6859,390.6206,498.2846,552.2786,169.9302,0.176309,0,0,4.314642,41.52509,141.6038,226.8051,29.16649,22.88176,16.81248,25.95112,60,60,45.85505,45.42655,55.73438,57.13079,45.80101,36.55484,0.06301798,0.122368,0.1355265,0.2310741,0.3363676,0.4563075,0.7786422,0.802451,0.482435,0.309788,0.1629134,0.1165788
46.1614,-112.3179,1,-13.97933,-11.29167,-11.155,-6.795667,-2.181,1.888667,5.499,5.385666,0.7130001,-3.052667,-9.024667,-11.26267,-4.958333,-1.802,-0.497,3.947,9.700668,14.60867,20.55267,19.529,13.574,8.094999,0.3316667,-2.459333,58.78466,45.929,59.91933,70.89233,84.44001,63.65633,35.041,35.274,42.76433,41.18134,45.53267,59.21799,5.03862,3.970886,3.693275,5.750659,29.14219,39.88383,48.67225,40.5625,26.68143,17.79595,8.567213,6.209178,13.40597,13.87604,17.65491,19.88478,29.14219,39.88383,54.50818,48.34738,29.51151,19.41961,13.54311,12.8555,183.9857,229.9147,289.834,349.1782,154.9346,0.574787,0,0,2.559273,19.73159,65.17083,124.3888,16.3856,12.41471,8.721435,12.03203,50,50,33.64935,27.49268,34.19962,35.86116,27.38737,21.17819,0.07282057,0.1246723,0.1339833,0.2155099,0.3276148,0.4688677,0.8394125,0.8315239,0.5451754,0.338103,0.1705221,0.1337723
44.9727,-111.8253,1,-14.67833,-12.46467,-12.021,-7.881666,-2.793,1.332333,5.280333,5.245334,0.5746666,-3.984667,-9.971998,-12.67567,-6.294667,-2.885,-1.029667,2.98,7.713,11.841,17.834,16.99167,11.63967,5.743667,-1.116333,-4.915334,90.93967,76.50267,90.05733,110.3843,101.0537,81.45334,48.16467,54.83233,73.35933,79.46267,77.57365,76.77466,9.790689,8.508895,8.885983,8.48157,34.70689,47.2246,63.07218,55.32592,35.34587,21.38533,13.6266,11.06173,18.14544,18.63867,23.5639,26.07835,35.29841,47.2246,65.68047,58.90836,36.69571,23.63187,18.27041,17.44766,315.5594,392.0621,482.1193,591.4883,391.128,12.67482,0,0,6.238419,67.88151,145.4552,222.2298,54.59157,46.08268,37.1967,29.73065,100.1178,110,95.67085,88.62596,94.89772,89.04302,75.41643,64.3547,0.07783536,0.121289,0.1420813,0.211095,0.3021023,0.3961426,0.7273237,0.7236091,0.4946121,0.2950496,0.1520005,0.09690464
